id,agent,map,side,title,description,ability,type
3a098ebb-836c-4dc9-919e-7c65e4e12f88,Raze,Haven,Attacking,How to Fight Garage Doors With Boom Bot,"Peek Garage Doors like so with your Boom Bot, as it clears any Defender in the Link between Garage and C Site. Peeking with the Boom Bot will make it very difficult for Defenders to target both you and your utility.",C,LU
27809197-5392-4858-89e0-931a7a8b9a3c,Raze,Haven,Attacking,How to Execute C Site With Paint Shells,"Here's one way to execute and clear the C Site as Raze. This lineup will make Defenders swing out into the open, or jump up onto the platform — leaving them vulnerable.",E,LU
2eb259a9-e1ab-400d-b876-089de8258622,Raze,Haven,Attacking,Top A Long To Bottom A Long Double Blast Pack,"This is useful for getting an unexpected angle on players on A Site, particularly toward the beginning of the round, or when you think the enemy team is lagging behind on their rotation into A Site. There is a lot of risk involved with this though, so doing this with the help of your team's smokes/other utility is ideal. Also, make sure to clear the area under the bricks yourself, or with the help of a teammate!",Q,LU
39d0fe27-d7b5-4316-b863-e5599959d1e9,Raze,Haven,Defending,Retake C Site Post Plant Paint Shells,Use this Paint Shell lineup to flush out Attackers from the Cubby spot at C Long in the Post Plant. You'll have time to swing when your utility activates.,E,LU
8874d1c9-38be-4733-ac4f-d13e632d2c51,Raze,Haven,Defending,A Tower To Front Default Paintshells,"This is useful for doing pick damage to players on A Site, especially players trying to plant the spike, but due to the risk, should ideally be done with the help of your teammates on Site.",E,LU
11a6f3d8-6b3f-403e-b123-8e6d99db6524,Raze,Haven,Defending,B Back To Front Left B Site Paintshells,"This is useful for both stopping players from planting the spike on the front left side of B Site, and stopping players from planting the spike if you are in a 1v1 situation on B Site and the enemy player is pressed for time and has to plant, with low risk to you.",E,LU
bf79e2b4-c15b-4612-9fc8-692a411f31c3,Raze,Haven,Defending,B Back To Front Right B Site Paintshells,"This is useful for both stopping players from planting the spike on the front right side of B Site, and stopping players from planting the spike if you are in a 1v1 situation on B Site and the enemy player is pressed for time and has to plant, with low risk to you.",E,LU
29513404-1117-475b-8667-5976f977118d,Raze,Haven,Defending,A Link To Front A Site Default Paintshells,"This is useful for doing pick damage to players as they push into A Site, as well as delaying the spike plant on A Site, if any enemies on site are low HP, you may even pick up picks on players who get hit by the paintshells on site.",E,LU
453762c2-dd57-47ee-a75d-012a5004ba80,Raze,Haven,Defending,A Tower To A Short Double Blast Pack,"This is useful for quickly traveling to A Short from A Tower, however it comes with a lot of risk and should likely be done with the help of your teammates utility, when given a good opportunity to do so as they push into the Site.",Q,LU
e225fd30-a520-445e-b8a9-f83776230f18,Raze,Split,Attacking,How to Split A Site Through Ramp With Boom Bot,"Combo your utility like so, for an easier split on the A Site. You'll be able to isolate fights and push advantages into your favor.",C,LU
5970e695-67ce-47ae-a1ab-a4d2a2f4976b,Raze,Split,Attacking,A Ramps Boombot Lineup For Mid Vent,"This Boombot lineup is useful for clearing out the inside of Lower Vents. Be careful though, since the boom bot can be temporarily avoided by a player inside of Vents - so make sure to watch ropes as you push into A Tower at least until the boom bot is gone.",C,LU
c4e3e04c-e9bb-48f5-ac52-d09898553829,Raze,Split,Attacking,Market To Mid Vent Paintshells,"This paintshells lineup is useful for doing damage to players in Mid Vent, as well making it more difficult for them to peek you from Mid Vent. To do this, align the wall on the left side of the screen, with the left edge of the box on the right side of mid top, then move forward, jump, and throw the grenade without moving your Crosshair to bounce it into mid vent.",E,LU
87ecc140-1dfe-45cc-bacd-4da3dc855fcf,Raze,Split,Attacking,Sewers To Mid Mail Paintshells,"This paintshells lineup is useful for pushing out players in mid mail. To do this, center your character up with the line on the wall on the right side of the Sewer entrance, then line your Crosshair up with the base of the line seen on-screen on the box on the right side of mid bottom, jump, and throw the paintshells at the top of the jump.",E,LU
86018ae5-84fb-449e-9dd5-0d9a987f38ba,Raze,Split,Defending,Start Round A Main Paint Shells Pressure,"Use this Paint Shells lineup to apply early pressure towards Attackers at A Main. Additionally, it will break Cypher's Tripwire.",E,LU
